May,2011,2575.86
June,2011,16874.94
July,2011,6189.10
August,2011,2700.82
September,2011,1141.80
October,2011,486.25
November,2011,271.38
December,2011,1693.27
January,2012,2635.37
February,2012,1497.66
March,2012,749.31
April,2012,784.48
May,2012,2187.06
June,2012,3831.49
July,2012,4492.02
August,2012,8392.81
September,2012,7835.47
October,2012,9825.04
November,2012,8611.70
December,2012,12288.13
January,2013,19112.56
February,2013,33488.08
March,2013,86022.58
April,2013,200894.55
May,2013,183754.49
June,2013,139790.51
July,2013,79105.82
August,2013,131026.73
September,2013,171995.63
October,2013,158084.33
November,2013,460375.22
December,2013,429793.56
January,2014,347174.43
February,2014,257497.18
March,2014,252555.52
April,2014,177796.18
May,2014,171146.25
June,2014,197099.35
July,2014,201230.79
August,2014,196091.06
September,2014,164370.37
October,2014,136908.32
November,2014,138752.94
December,2014,136871.57
January,2015,111670.87
February,2015,85497.33
March,2015,117453.92
April,2015,125066.17
May,2015,107481.51
June,2015,131558.17
July,2015,248443.55
August,2015,203380.52
September,2015,185615.97
October,2015,204637.27
November,2015,284807.91
December,2015,433408.14
January,2016,444335.78
February,2016,481148.93
